split,name,img_w,img_h,n_obj,has_label_file
train,baidu_P000_16_jpg.rf.418fd9bd50b4b5a84868989d766fa45b.jpg,1024,683,74,True
train,baidu_P000_16_jpg.rf.98d4a432bafca480cbc0c0d1b9ef7609.jpg,1024,683,72,True
train,baidu_P000_16_jpg.rf.c21018875e0b00fb62f4e55f0fae9c3d.jpg,1024,683,74,True
train,baidu_P000_4_jpg.rf.44a6a48253a3cc005093152b0e38ea2d.jpg,1200,900,121,True
train,baidu_P000_4_jpg.rf.726a781d6cddf2c5371a40286a6d954f.jpg,1200,900,117,True
train,baidu_P000_4_jpg.rf.f61e1aab497586b6922b791be881e338.jpg,1200,900,120,True
train,baidu_P000_timg-1-_jpg.rf.26574ceb3517f1dabd627abbe89ac8f5.jpg,1200,674,354,True
train,baidu_P000_timg-1-_jpg.rf.269ec7ea205c09ad4baafb979c2f2287.jpg,1200,674,356,True
train,baidu_P000_timg-1-_jpg.rf.bec7f5d0159a46481c8555cb0f204fa5.jpg,1200,674,356,True
train,baidu_P000_timg-25-_jpg.rf.0dbfbd1617e04a434696c86226a56233.jpg,1280,725,231,True
train,baidu_P000_timg-25-_jpg.rf.99d3e2c685427f8bc4482379cddc3c67.jpg,1280,725,239,True
train,baidu_P000_timg-25-_jpg.rf.bb126eec0ac7d588d37af2345c414df2.jpg,1280,725,239,True
train,bb_V0002_I0000000_jpg.rf.2efcd36ffa5fcee5f789a3019ce241b4.jpg,1920,1080,12,True
train,bb_V0002_I0000000_jpg.rf.aa1cce5472b5b48ae9b529585e7862e4.jpg,1920,1080,12,True
train,bb_V0002_I0000000_jpg.rf.fb013c2a2c914273148cdb5bccd3b234.jpg,1920,1080,12,True
train,bb_V0002_I0000240_jpg.rf.2f9a6b196edd17df5ce84824cf3da18a.jpg,1920,1080,9,True
train,bb_V0002_I0000240_jpg.rf.4852e07d18c4dac81d4ce7f0e51c77d2.jpg,1920,1080,8,True
train,bb_V0002_I0000240_jpg.rf.4e0f941d7dd93a62ebe91a31a641a9c2.jpg,1920,1080,9,True
train,bb_V0002_I0000400_jpg.rf.309da7df62a2bfcc7e908dcbd368150e.jpg,1920,1080,13,True
train,bb_V0002_I0000400_jpg.rf.600f9a90ed3ba6ac884c18fe2eda8be3.jpg,1920,1080,13,True
train,bb_V0002_I0000400_jpg.rf.72828af513409223da8a14d92b41fa76.jpg,1920,1080,13,True
train,bb_V0002_I0000520_jpg.rf.3d65728525e34ef38200656ff2152980.jpg,1920,1080,13,True
train,bb_V0002_I0000520_jpg.rf.7b040655138b57c25c9c42bf30701fcc.jpg,1920,1080,11,True
train,bb_V0002_I0000520_jpg.rf.b7a7a61fd91d38e6af62407ac0402145.jpg,1920,1080,13,True
train,bb_V0003_I0000520_jpg.rf.794588afe50b7c907429ba71a6dcee50.jpg,1920,1080,10,True
train,bb_V0003_I0000520_jpg.rf.bacebabd17c350a4e8093e90c0442168.jpg,1920,1080,9,True
train,bb_V0003_I0000520_jpg.rf.f918aa056981c018fa20025f2c94e7be.jpg,1920,1080,10,True
train,bb_V0003_I0001200_jpg.rf.4ea5b3b0eb2d5dd950244637b11cb625.jpg,1920,1080,5,True
train,bb_V0003_I0001200_jpg.rf.9fa0b3766563e920bdeff90ba8cfa7d6.jpg,1920,1080,5,True
train,bb_V0003_I0001200_jpg.rf.d78fc78c4cfd4902e12762c0e3db3346.jpg,1920,1080,5,True
train,bb_V0004_I0001080_jpg.rf.9b5415e4bc049d665ea778fceda3f76f.jpg,1920,1080,41,True
train,bb_V0004_I0001080_jpg.rf.b670bb4eef59346ee0096d0c0f841bee.jpg,1920,1080,41,True
train,bb_V0004_I0001080_jpg.rf.d7be0cb8002961121f0bcf67eb706f84.jpg,1920,1080,41,True
train,bb_V0004_I0001320_jpg.rf.2614268e4eda3d1a1b82419887b52a2a.jpg,1920,1080,38,True
train,bb_V0004_I0001320_jpg.rf.a7beb44d78f0063608996eb59e387988.jpg,1920,1080,38,True
train,bb_V0004_I0001320_jpg.rf.c25ce861dbcfc8890a278991df877a63.jpg,1920,1080,36,True
train,bb_V0004_I0001520_jpg.rf.090cc2f08d66d1c4a455ab4069ed4e8c.jpg,1920,1080,37,True
train,bb_V0004_I0001520_jpg.rf.3e3900d76831375baf89702aaaef69ec.jpg,1920,1080,37,True
train,bb_V0004_I0001520_jpg.rf.832e4bfd90b7b241a9284ac008942bfa.jpg,1920,1080,37,True
train,bb_V0004_I0001600_jpg.rf.6b37fb78bfc25fee242c42ca6d2ec6ff.jpg,1920,1080,14,True
train,bb_V0004_I0001600_jpg.rf.e37407abc5d5b18d0a1a19bda2250a76.jpg,1920,1080,14,True
train,bb_V0004_I0001600_jpg.rf.ed185601ba2e99cc09fe3ee6a4326977.jpg,1920,1080,14,True
train,bb_V0004_I0001720_jpg.rf.0adf3dc033f316b44b2bca327e126351.jpg,1920,1080,13,True
train,bb_V0004_I0001720_jpg.rf.7d3d0817152f92273b354d29fedc98ae.jpg,1920,1080,13,True
train,bb_V0004_I0001720_jpg.rf.8edc5b2f9ebd4adb1b5959febcaf31f3.jpg,1920,1080,13,True
train,bb_V0004_I0002600_jpg.rf.3e14dc823e0aee44518a345afcbcd06d.jpg,1920,1080,42,True
train,bb_V0004_I0002600_jpg.rf.503ec1b5a6e03b15636b3eb8ab505de7.jpg,1920,1080,42,True
