run_id,dataset,dataset_version,split_hash,detector,backbone,method,placement,seed,code_commit,config_hash,train_budget,checkpoint_rule,best_epoch,AP,AP50,AP75,APS,APM,APL,AR100,latency_ms,vram_mb,status,notes
wp01_pilot_standard__seed42__wp02_t4,TinyPerson,tinyperson-wp01-a1,44a2e30958ae261742c87b34dcfc260cd865d4cbdb6ea8b9e9bbbcd59418c97e,Faster R-CNN,ResNet-50-FPN,standard,iou_smooth_l1,42,trainer_sha256:7c05831cbc544b84926694ecdd85159a9ac85ee557a7dc6894bebcfaed2b5d03,17051315d778a34ab57bf1fa6849340f6a1df5b2c689ac9d31574d2876d772c7,8 epochs; batch=4,coco_ap,4,0.158618596902,0.438407785822,0.073113755136,0.139717636180,0.246414250198,0.366887457639,,,,ACCEPTED,WP02 validation-only; artifact_audit=PASS; offkernel_reload=PASS; official_primary=PASS; best_pt_sha256=18ffeeb7f652f2c6ff23181a69e1c4cb98d66e645252fa5e1857f664d29c3a2b
wp01_pilot_standard__seed123__wp02_t4,TinyPerson,tinyperson-wp01-a1,44a2e30958ae261742c87b34dcfc260cd865d4cbdb6ea8b9e9bbbcd59418c97e,Faster R-CNN,ResNet-50-FPN,standard,iou_smooth_l1,123,trainer_sha256:7c05831cbc544b84926694ecdd85159a9ac85ee557a7dc6894bebcfaed2b5d03,1fb436bff2389042b52ed471d2997db34a29269466b5f8febc867f23dca2bb4c,8 epochs; batch=4,coco_ap,7,0.154160949041,0.428173324675,0.070321826928,0.137273131107,0.221911587172,0.357161922820,,,,ACCEPTED,WP02 validation-only; artifact_audit=PASS; offkernel_reload=PASS; official_primary=PASS; best_pt_sha256=0bc5b09cdbfa5051217d1e180dada3ca4b11c6582a1a0dd914db5be878122ef1
wp01_pilot_standard__seed2024__wp02_t4,TinyPerson,tinyperson-wp01-a1,44a2e30958ae261742c87b34dcfc260cd865d4cbdb6ea8b9e9bbbcd59418c97e,Faster R-CNN,ResNet-50-FPN,standard,iou_smooth_l1,2024,trainer_sha256:7c05831cbc544b84926694ecdd85159a9ac85ee557a7dc6894bebcfaed2b5d03,b0166b8586c8238f4979c1ec11eb8e5d0728be8dd504f70705faf89c28c67c9a,8 epochs; batch=4,coco_ap,7,0.153935635657,0.435883992267,0.069487546793,0.138497587112,0.217767865355,0.349824227618,,,,ACCEPTED,WP02 validation-only; artifact_audit=PASS; offkernel_reload=PASS; official_primary=PASS; best_pt_sha256=98ce4704cb1b1ff672c6f5a66226703071183f21d6fbd1f7f62a7b96598398d4
wp01_pilot_rfla__seed42__wp02_t4,TinyPerson,tinyperson-wp01-a1,44a2e30958ae261742c87b34dcfc260cd865d4cbdb6ea8b9e9bbbcd59418c97e,Faster R-CNN,ResNet-50-FPN,rfla,la,42,trainer_sha256:7c05831cbc544b84926694ecdd85159a9ac85ee557a7dc6894bebcfaed2b5d03,d252625dae807dee005ffaacf676fff0ca1b110ccbb3618371d2086f926a3f49,8 epochs; batch=4,coco_ap,4,0.159084942274,0.448391036822,0.072954746648,0.145024063015,0.231809282084,0.364751934868,,,,ACCEPTED,WP02 validation-only; artifact_audit=PASS; offkernel_reload=PASS; official_primary=PASS; best_pt_sha256=690dfa07d89298176100b5eaf79156cc4deb261ceb88a5755addf80a843ab60d
wp01_pilot_rfla__seed123__wp02_t4,TinyPerson,tinyperson-wp01-a1,44a2e30958ae261742c87b34dcfc260cd865d4cbdb6ea8b9e9bbbcd59418c97e,Faster R-CNN,ResNet-50-FPN,rfla,la,123,trainer_sha256:7c05831cbc544b84926694ecdd85159a9ac85ee557a7dc6894bebcfaed2b5d03,a1395a2b71b7a8e3bb650d1027617d1316fad534e1dbfe944c2015bec930b7d8,8 epochs; batch=4,coco_ap,5,0.159614326554,0.438972420154,0.077565519272,0.144003237260,0.228179661943,0.355472714661,,,,ACCEPTED,WP02 validation-only; artifact_audit=PASS; offkernel_reload=PASS; official_primary=PASS; best_pt_sha256=e7c27dd5ccca8100b9cdb379688a327f19fd70d978c6e9e9af0ba99826dd3754
wp01_pilot_rfla__seed2024__wp02_t4,TinyPerson,tinyperson-wp01-a1,44a2e30958ae261742c87b34dcfc260cd865d4cbdb6ea8b9e9bbbcd59418c97e,Faster R-CNN,ResNet-50-FPN,rfla,la,2024,trainer_sha256:7c05831cbc544b84926694ecdd85159a9ac85ee557a7dc6894bebcfaed2b5d03,885a5fc1775f76111f514d5ebda57b402f56d4f8320469566dc01673c7a88be7,8 epochs; batch=4,coco_ap,7,0.157005884106,0.438033501241,0.073997476233,0.143184702604,0.217992577308,0.343677421047,,,,ACCEPTED,WP02 validation-only; artifact_audit=PASS; offkernel_reload=PASS; official_primary=PASS; best_pt_sha256=aca5f3d979e8aca6a528f9d5ccb54dff5d14d67a74156f23384064eacc7c0794
wp01_pilot_nwd__seed42__wp02_t4,TinyPerson,tinyperson-wp01-a1,44a2e30958ae261742c87b34dcfc260cd865d4cbdb6ea8b9e9bbbcd59418c97e,Faster R-CNN,ResNet-50-FPN,nwd,la_loss_nms,42,trainer_sha256:7c05831cbc544b84926694ecdd85159a9ac85ee557a7dc6894bebcfaed2b5d03,ffa5b54bf5a0f69946a158c80cb55d6c5e7911015812d03a0e5248f7e3b0724a,8 epochs; batch=4,coco_ap,7,0.145938676771,0.409547192054,0.066901571004,0.130382981502,0.218474544832,0.327269658834,,,,ACCEPTED,WP02 validation-only; artifact_audit=PASS; offkernel_reload=PASS; official_primary=PASS; best_pt_sha256=fffc7e655b97f9b37f388a8512b47e749bec66da05e28ed13d026cb24c5b7f46
wp01_pilot_nwd__seed123__wp02_t4,TinyPerson,tinyperson-wp01-a1,44a2e30958ae261742c87b34dcfc260cd865d4cbdb6ea8b9e9bbbcd59418c97e,Faster R-CNN,ResNet-50-FPN,nwd,la_loss_nms,123,trainer_sha256:7c05831cbc544b84926694ecdd85159a9ac85ee557a7dc6894bebcfaed2b5d03,96f003aeb2e8b9c2c8e6563cbe0b9d122366e0ab8909b389d903f3c566d67630,8 epochs; batch=4,coco_ap,8,0.148696103286,0.415185657295,0.067164351827,0.134367274924,0.214433397233,0.362150033149,,,,ACCEPTED,WP02 validation-only; artifact_audit=PASS; offkernel_reload=PASS; official_primary=PASS; best_pt_sha256=d758e7e49d03de4708396ae332ec0d6d7e2b09a3b22aef16d36c9b7689062ce5
wp01_pilot_nwd__seed2024__wp02_t4,TinyPerson,tinyperson-wp01-a1,44a2e30958ae261742c87b34dcfc260cd865d4cbdb6ea8b9e9bbbcd59418c97e,Faster R-CNN,ResNet-50-FPN,nwd,la_loss_nms,2024,trainer_sha256:7c05831cbc544b84926694ecdd85159a9ac85ee557a7dc6894bebcfaed2b5d03,34e41bfd1ebf06e411a6873040904a08f0c43aa64b8da7c0910866aa6a6a5c2a,8 epochs; batch=4,coco_ap,8,0.149372850004,0.409331019086,0.069772409162,0.133925087920,0.218266386700,0.353157073556,,,,ACCEPTED,WP02 validation-only; artifact_audit=PASS; offkernel_reload=PASS; official_primary=PASS; best_pt_sha256=af8288f4a0fe6ca750535d261123ae3575c6ee82901718ee177ef5f12cfed910
wp01_pilot_igwd__seed42__wp02_t4,TinyPerson,tinyperson-wp01-a1,44a2e30958ae261742c87b34dcfc260cd865d4cbdb6ea8b9e9bbbcd59418c97e,Faster R-CNN,ResNet-50-FPN,igwd,la_loss,42,trainer_sha256:7c05831cbc544b84926694ecdd85159a9ac85ee557a7dc6894bebcfaed2b5d03,4ad3d63010e8b66d173a7bbc7d7433b77474a1c8917fa9868cc6946b3dd45d19,8 epochs; batch=4,coco_ap,5,0.149127935988,0.425427956409,0.068272232636,0.132513443727,0.225328102971,0.339256014493,,,,ACCEPTED,WP02 validation-only; artifact_audit=PASS; offkernel_reload=PASS; official_primary=PASS; best_pt_sha256=05b090d78e0df8e63be92a4654a459e897393b5564f35c514732b6a72f8c73a8
