comparison,scale_bin,gt_count,baseline_positive_count,candidate_positive_count,delta_positive_count,relative_delta,baseline_mean_positive_per_gt,candidate_mean_positive_per_gt,baseline_covered_gt_count,candidate_covered_gt_count,delta_covered_gt_count
beta_only_vs_alw,below_s_min,78,227,220,-7,-0.03083700440528636,2.91025641025641,2.8205128205128207,77,77,0
beta_only_vs_alw,adaptive_interval,1590,6115,6007,-108,-0.017661488143908444,3.8459119496855347,3.777987421383648,1590,1590,0
beta_only_vs_alw,above_s_max,150,557,557,0,0.0,3.7133333333333334,3.7133333333333334,149,149,0
position_only_vs_alw,below_s_min,78,227,220,-7,-0.03083700440528636,2.91025641025641,2.8205128205128207,77,77,0
position_only_vs_alw,adaptive_interval,1590,6115,5986,-129,-0.021095666394112866,3.8459119496855347,3.7647798742138363,1590,1590,0
position_only_vs_alw,above_s_max,150,557,557,0,0.0,3.7133333333333334,3.7133333333333334,149,149,0
full_vs_alw,below_s_min,78,227,219,-8,-0.03524229074889873,2.91025641025641,2.8076923076923075,77,77,0
full_vs_alw,adaptive_interval,1590,6115,5867,-248,-0.040556009811937854,3.8459119496855347,3.689937106918239,1590,1590,0
full_vs_alw,above_s_max,150,557,557,0,0.0,3.7133333333333334,3.7133333333333334,149,149,0
full_vs_position_only,below_s_min,78,220,219,-1,-0.004545454545454519,2.8205128205128207,2.8076923076923075,77,77,0
full_vs_position_only,adaptive_interval,1590,5986,5867,-119,-0.019879719345138658,3.7647798742138363,3.689937106918239,1590,1590,0
full_vs_position_only,above_s_max,150,557,557,0,0.0,3.7133333333333334,3.7133333333333334,149,149,0
