comparison,scale_bin,gt_count,baseline_positive_count,candidate_positive_count,delta_positive_count,relative_delta,baseline_mean_positive_per_gt,candidate_mean_positive_per_gt,baseline_covered_gt_count,candidate_covered_gt_count,delta_covered_gt_count
beta_only_vs_alw,below_s_min,23,71,70,-1,-0.014084507042253502,3.0869565217391304,3.0434782608695654,23,23,0
beta_only_vs_alw,adaptive_interval,528,2101,2055,-46,-0.021894336030461647,3.9791666666666665,3.8920454545454546,526,526,0
beta_only_vs_alw,above_s_max,73,270,270,0,0.0,3.6986301369863015,3.6986301369863015,73,73,0
position_only_vs_alw,below_s_min,23,71,70,-1,-0.014084507042253502,3.0869565217391304,3.0434782608695654,23,23,0
position_only_vs_alw,adaptive_interval,528,2101,2043,-58,-0.02760590195145174,3.9791666666666665,3.8693181818181817,526,526,0
position_only_vs_alw,above_s_max,73,270,270,0,0.0,3.6986301369863015,3.6986301369863015,73,73,0
full_vs_alw,below_s_min,23,71,70,-1,-0.014084507042253502,3.0869565217391304,3.0434782608695654,23,23,0
full_vs_alw,adaptive_interval,528,2101,2020,-81,-0.03855306996668251,3.9791666666666665,3.8257575757575757,526,526,0
full_vs_alw,above_s_max,73,270,270,0,0.0,3.6986301369863015,3.6986301369863015,73,73,0
full_vs_position_only,below_s_min,23,70,70,0,0.0,3.0434782608695654,3.0434782608695654,23,23,0
full_vs_position_only,adaptive_interval,528,2043,2020,-23,-0.011257953989231573,3.8693181818181817,3.8257575757575757,526,526,0
full_vs_position_only,above_s_max,73,270,270,0,0.0,3.6986301369863015,3.6986301369863015,73,73,0
