comparison,scale_bin,gt_count,baseline_positive_count,candidate_positive_count,delta_positive_count,relative_delta,baseline_mean_positive_per_gt,candidate_mean_positive_per_gt,baseline_covered_gt_count,candidate_covered_gt_count,delta_covered_gt_count
beta_only_vs_alw,below_s_min,247,849,831,-18,-0.021201413427561877,3.437246963562753,3.3643724696356276,247,247,0
beta_only_vs_alw,adaptive_interval,656,2536,2457,-79,-0.03115141955835965,3.8658536585365852,3.745426829268293,656,656,0
beta_only_vs_alw,above_s_max,41,147,147,0,0.0,3.5853658536585367,3.5853658536585367,41,41,0
position_only_vs_alw,below_s_min,247,849,818,-31,-0.036513545347467646,3.437246963562753,3.311740890688259,247,247,0
position_only_vs_alw,adaptive_interval,656,2536,2442,-94,-0.037066246056782326,3.8658536585365852,3.722560975609756,656,656,0
position_only_vs_alw,above_s_max,41,147,147,0,0.0,3.5853658536585367,3.5853658536585367,41,41,0
full_vs_alw,below_s_min,247,849,797,-52,-0.06124852767962308,3.437246963562753,3.2267206477732793,247,247,0
full_vs_alw,adaptive_interval,656,2536,2379,-157,-0.06190851735015768,3.8658536585365852,3.6265243902439024,656,656,0
full_vs_alw,above_s_max,41,147,147,0,0.0,3.5853658536585367,3.5853658536585367,41,41,0
full_vs_position_only,below_s_min,247,818,797,-21,-0.025672371638141844,3.311740890688259,3.2267206477732793,247,247,0
full_vs_position_only,adaptive_interval,656,2442,2379,-63,-0.025798525798525818,3.722560975609756,3.6265243902439024,656,656,0
full_vs_position_only,above_s_max,41,147,147,0,0.0,3.5853658536585367,3.5853658536585367,41,41,0
